28,测试问题,1,测试回答,2024-08-28 00:00:00,{测试}
193,斜坡采集,2,"【斜坡采集】是指在读出梯度的两个斜坡阶段也采集信号，充分利用读出梯度的爬升和下降时间，主要用于缩短TE或回波间隔。使用场景如下：
1. WFI场景：因为水脂分离算法对回波间隔有要求，导致分辨率容易受限。而斜坡采集可以缩短回波间隔，从而能实现更高的分辨率。
2. 双回波场景：双回波场景对TE有要求，而斜坡采集可以降低TE时间和回波间隔，从而更能设置到对应的同、反相位值上；
3. 用于缩短TE场景：降低流动、搏动等伪影，提高SNR，压脂情况下TE设成反相位值能获得更黑的压脂效果等。

带宽越高，读出梯度越大，梯度的爬升时间越长，勾选【斜坡采集】的收益越明显。当【部分回波】强的时候建议不要开启，K空间中心越靠近梯度爬升阶段，越容易受到梯度涡流引起的轨迹不完美的影响。",2023-08-12 00:00:00,"{序列卡,序列通用}"
194,编码倾角,2,【编码倾角】指旋转相位编码方向，但成像FOV不做旋转。顺时针旋转为负值，逆时针旋转为正值。运动伪影常规出现在相位编码方向，旋转相位编码方向，可将运动伪影沿相位编码方向旋转，以减轻呼吸或搏动伪影对感兴趣区域组织结构的影响。默认腰椎推荐设置为-10度，其他部位需谨慎使用。,2023-08-12 00:00:00,"{序列卡,序列通用}"
195,椭圆扫描,2,【椭圆扫描】是指采集时只采集K空间椭圆区域内的数据，四角区域数据不采集，可用于缩短采集时间，但图像锐利度一定程度上会有所损失。仅3D协议可用。,2023-08-14 00:00:00,"{序列卡,序列通用}"
196,静音因子,2,【静音因子】是指“静音”扫描时静音的程度。“静音”扫描通过调整梯度波形，用于降低扫描时产生的声学噪声，以提高患者舒适度。【静音因子】数值越小，序列产生的声音越小，但扫描时间也会相应增加。【静音因子】为1 时，表示不静音。,2023-08-14 00:00:00,"{序列卡,序列通用}"
197,回波间隔,2,【回波间隔】是指相邻两个回聚脉冲或回聚梯度之间的时间间隔，不可直接编辑。【回波间隔】和【回波链长度】共同决定了【回波链持续时间】。为了减小信号的T2衰减效应和EPI序列的形变，【回波间隔】通常应尽可能短，可通过提高【带宽】、将【梯度模式】切换成【高】、将【射频模式】切换成【快速】、降低【读出分辨率】、开启【部分回波】等方式实现，但需要同时关注SAR和dB/dt是否会超限。,2023-08-14 00:00:00,"{序列卡,序列通用}"
198,空扫,2,【空扫】是指在扫描开启至正式扫描期间，不采集图像的扫描次数。空扫可以使信号在正式扫描前达到稳态避免图像上产生伪影，但同时扫描时间也会增加。在GRE类序列动态扫描中，进行一到两次空扫可以避免第一个期相图像信号过亮。,2023-08-14 00:00:00,"{序列卡,序列通用}"
199,梯度模式,2,"【梯度模式】可以选择使用不同强度的梯度性能。
它的选项有：
1.【标准】：使用标准的梯度性能；
2.【高】：使用较高的梯度性能；
3.【低】：使用较低的梯度性能。
当dB/dt超阈值时，可以降低使用的梯度性能（例如：使用梯度模式【低】），来降低dB/dt；当需要进一步降低【TE】和扫描时间时，可以尝试梯度模式【高】。",2023-08-14 00:00:00,"{序列卡,序列通用}"
200,梯度模式：标准,2,【梯度模式】的选项。【标准】是指使用标准的梯度性能。,2023-08-15 00:00:00,"{序列卡,序列通用}"
201,梯度模式：高,2,【梯度模式】的选项。【高】是指使用较高的梯度性能，当需要进一步降低【TE】和扫描时间时，可以使用该模式，但可能会导致dB/dt超限。,2023-08-15 00:00:00,"{序列卡,序列通用}"
202,梯度模式：低,2,【梯度模式】的选项。【低】是指使用较低的梯度性能，可降低序列的dB/dt，但【TE】和扫描时间可能会延长。,2023-08-15 00:00:00,"{序列卡,序列通用}"
219,冠状位,2,"定义【冠状位】片层组内的图像顺序，它的选项有：
1.【A-P】：图像显示顺序从患者前侧到后侧；
2.【P-A】：图像显示顺序从患者后侧到前侧。
一般图像显示顺序为患者前侧到后侧。",2023-08-21 00:00:00,"{序列卡,序列通用}"
220,横断位：H-F,2,【横断位】的选项。【H-F】是指图像显示顺序从患者头侧到脚侧。,2023-08-21 00:00:00,"{序列卡,序列通用}"
203,射频模式,2,"【射频模式】可以选择使用不同时长的激发或回聚脉冲。
它的选项有：
1.【标准】：使用默认持续时间的脉冲，在持续时间和射频能量之间做了平衡；
2.【快速】：使用短持续时间的脉冲；
3.【优化射频能量】：使用长持续时间的脉冲以降低SAR。
当遇到系统超SAR无法继续扫描时，可尝试选择【优化射频能量】降低脉冲能量，但可能会增加【回波间隔】、扫描时间；当需要进一步降低【回波间隔】或扫描时间时，可尝试选择【快速】减小脉冲持续时间，但会增加序列SAR。",2023-08-15 00:00:00,"{序列卡,序列通用}"
204,射频模式：标准,2,【射频模式】的选项。【标准】是指使用默认持续时间的脉冲，在持续时间和射频能量之间做了平衡。,2023-08-15 00:00:00,"{序列卡,序列通用}"
205,射频模式：优化射频能量,2,【射频模式】的选项。【优化射频能量】是指使用长持续时间的脉冲以降低SAR，但可能会增加【回波间隔】、扫描时间。,2023-08-15 00:00:00,"{序列卡,序列通用}"
206,射频模式：快速,2,【射频模式】的选项。【快速】是指使用短持续时间的脉冲，可减小【回波间隔】或扫描时间，但SAR会有一定程度的增加。,2023-08-15 00:00:00,"{序列卡,序列通用}"
207,多层模式,2,"【多层模式】决定层面采集的方式，仅当扫描【维度】为【二维】时可用。它的选项有：
1.【层模式】：逐层采集，采集完一层的全部数据后再采集另外一层的数据；
2.【线模式】：在一个重复时间内采集多层的数据，其中每一层都只采集一部分数据，通过若干重复时间完成多层所有数据的采集。
推荐使用【线模式】，可以在一个重复时间内采集多层的数据，提高采集效率。【层模式】由于在更短的时间内完成单层数据的采集，对运动敏感性低，常规心脏扫描屏气一次扫一层的场景下使用。",2023-08-15 00:00:00,"{序列卡,序列通用}"
208,多层模式：层模式,2,【多层模式】的选项。【层模式】是指逐层采集，采集完一层的全部数据后再采集另外一层的数据。在常规心脏扫描屏气一次扫一层的场景下常用。,2023-08-15 00:00:00,"{序列卡,序列通用}"
209,多层模式：线模式,2,【多层模式】的选项。【线模式】是指在一个重复时间内采集多层的数据，其中每一层都只采集一部分数据，通过若干重复时间完成多层所有数据的采集。推荐使用【线模式】可以提高采集效果，心脏场景下一次屏气扫描多层时也适用。,2023-08-15 00:00:00,"{序列卡,序列通用}"
210,多层排序：顺序,2,【多层排序】的选项。【顺序】是指按照片层编号依次采集。例如，当扫描5层时，层方向采集次序依次为1-2-3-4-5。一般在腹部屏气扫描需要保持各层运动状态一致或是在短TR协议需要各层信号衰减连续的时候使用【顺序】。,2023-08-15 00:00:00,"{序列卡,序列通用}"
211,多层排序：交错,2,【多层排序】的选项。【交错】是指层方向按一定步长交错采集，例如，当扫描5层时，层方向采集次序为1-3-5-2-4。使用【交错】采集可在一定程度上抑制层间干扰伪影。,2023-08-15 00:00:00,"{序列卡,序列通用}"
212,多层排序,2,"【多层排序】决定层面扫描的顺序，和出图顺序无关，它的选项有：
1.【顺序】：按片层编号依次采集，例如，当扫描5层时，层方向采集次序依次为1-2-3-4-5；
2.【交错】：层方向按一定步长交错采集，例如，当扫描5层时，层方向采集次序为1-3-5-2-4。
一般常用【交错】采集，可以在一定程度上抑制层间干扰伪影。在腹部屏气扫描需要保持各层运动状态一致或是在短TR协议需要各层信号衰减连续时使用【顺序】。",2023-08-15 00:00:00,"{序列卡,序列通用}"
213,扫描方向,2,"【扫描方向】决定层面扫描的方向，和出图顺序无关，它的选项有：
1.【默认】：采用序列默认的层面扫描顺序，即横断位从头到脚，矢状位从左到右，冠状位从后到前；
2.【反向】：层面扫描顺序与序列中默认的相反，即横断位从脚到头，矢状位从右到左，冠状位从前到后；",2023-08-15 00:00:00,"{序列卡,序列通用}"
214,扫描方向：默认,2,【扫描方向】的选项。【默认】表示采用序列默认的层面扫描顺序，即横断位从头到脚，矢状位从左到右，冠状位从后到前。,2023-08-15 00:00:00,"{序列卡,序列通用}"
215,扫描方向：反向,2,【扫描方向】的选项。【反向】表示层面扫描顺序与序列中默认的相反，即横断位从脚到头，矢状位从右到左，冠状位从前到后。,2023-08-15 00:00:00,"{序列卡,序列通用}"
216,方位顺序,2,"【方位顺序】是当一次扫描中出现不同主方向片层组时图像显示的排序规则，该参数下方的方位参数决定某个方向的扫描片层组中片层的显示顺序。可以选择【矢状位】、【冠状位】、【横断位】三者之间的顺序。
它的选项有：
1.【S-C-T】：片层组图像显示顺序依次为【矢状位】、【冠状位】和【横断位】；
2.【S-T-C】：片层组图像显示顺序依次为【矢状位】、【横断位】和【冠状位】；
3.【C-T-S】：片层组图像显示顺序依次为【冠状位】、【横断位】和【矢状位】；
4.【C-S-T】：片层组图像显示顺序依次为【冠状位】、【矢状位】和【横断位】；
5.【T-C-S】：片层组图像显示顺序依次为【横断位】、【冠状位】和【矢状位】；
6.【T-S-C】：片层组图像显示顺序依次为【横断位】、【矢状位】和【冠状位】。
一般图像显示顺序为先【矢状位】、再【冠状位】，最后【横断位】，此处定义的顺序与扫描顺序无关，只影响重建图像编号。",2023-08-21 00:00:00,"{序列卡,序列通用}"
217,矢状位,2,"定义【矢状位】片层组内的图像顺序，它的选项有：
1.【R-L】：图像显示顺序从患者右侧到左侧；
2.【L-R】：图像显示顺序从患者左侧到右侧；
3.【Mid-Side】：图像显示顺序以Z轴为中心，同距先左，先内后外；
4.【Side-Mid】：图像显示顺序以Z轴为中心，同距先右，先外后内。
一般图像显示顺序为患者右侧到左侧。",2023-08-21 00:00:00,"{序列卡,序列通用}"
218,横断位,2,"定义【横断位】片层组内的图像顺序，它的选项有：
1.【F-H】：图像显示顺序从患者脚侧到头侧；
2.【H-F】：图像显示顺序从患者头侧到脚侧。
一般图像显示顺序为患者头侧到脚侧。",2023-08-21 00:00:00,"{序列卡,序列通用}"
221,横断位：F-H,2,【横断位】的选项。【F-H】是指图像显示顺序从患者脚侧到头侧。,2023-08-21 00:00:00,"{序列卡,序列通用}"
222,冠状位：P-A,2,【冠状位】的选项。【P-A】是指图像显示顺序从患者后侧到前侧。,2023-08-21 00:00:00,"{序列卡,序列通用}"
223,冠状位：A-P,2,【冠状位】的选项。【A-P】是指图像显示顺序从患者前侧到后侧。,2023-08-21 00:00:00,"{序列卡,序列通用}"
224,矢状位：R-L,2,【矢状位】的选项。【R-L】是指图像显示顺序从患者右侧到左侧。,2023-08-21 00:00:00,"{序列卡,序列通用}"
225,矢状位：L-R,2,【矢状位】的选项。【L-R】是指图像显示顺序从患者左侧到右侧。,2023-08-21 00:00:00,"{序列卡,序列通用}"
226,矢状位：Side-Mid,2,【矢状位】的选项。【Side-Mid】是指图像显示顺序以Z轴为中心，同距先右，先外后内。在同时扫描两侧颞颌关节时，可选择该选项设置两侧矢状位片层组图像显示顺序。,2023-08-22 00:00:00,"{序列卡,序列通用}"
227,矢状位：Mid-Side,2,【矢状位】的选项。【Mid-Side】是指图像显示顺序以Z轴为中心，同距先左，先内后外。在同时扫描两侧颞颌关节时，可选择该选项设置两侧矢状位片层组图像显示顺序。,2023-08-22 00:00:00,"{序列卡,序列通用}"
228,方位顺序：S-C-T,2,【方位顺序】的选项。【S-C-T】是指片层组图像显示顺序依次为【矢状位】、【冠状位】和【横断位】。,2023-08-22 00:00:00,"{序列卡,序列通用}"
229,方位顺序：S-T-C,2,【方位顺序】的选项。【S-T-C】是指片层组图像显示顺序依次为【矢状位】、【横断位】和【冠状位】。,2023-08-22 00:00:00,"{序列卡,序列通用}"
230,方位顺序：C-T-S,2,【方位顺序】的选项。【C-T-S】是指片层组图像显示顺序依次为【冠状位】、【横断位】和【矢状位】。,2023-08-22 00:00:00,"{序列卡,序列通用}"
231,方位顺序：T-S-C,2,【方位顺序】的选项。【T-S-C】是指层组图像显示顺序依次为【横断位】、【矢状位】和【冠状位】。,2023-08-22 00:00:00,"{序列卡,序列通用}"
232,方位顺序：T-C-S,2,【方位顺序】的选项。【T-C-S】是指片层组图像显示顺序依次为【横断位】、【冠状位】和【矢状位】。,2023-08-22 00:00:00,"{序列卡,序列通用}"
233,方位顺序：C-S-T,2,【方位顺序】的选项。【C-S-T】是指片层组图像显示顺序依次为【冠状位】、【矢状位】和【横断位】。,2023-08-22 00:00:00,"{序列卡,序列通用}"
234,斜坡采集,2,"【斜坡采集】是指在读出梯度的两个斜坡阶段也采集信号，充分利用读出梯度的爬升和下降时间，主要用于缩短TE或回波间隔。使用场景如下：
1. WFI场景：因为水脂分离算法对回波间隔有要求，导致分辨率容易受限。而斜坡采集可以缩短回波间隔，从而能实现更高的分辨率。
2. 双回波场景：双回波场景对TE有要求，而斜坡采集可以降低TE时间和回波间隔，从而更能设置到对应的同、反相位值上；
3. 用于缩短TE场景：降低流动、搏动等伪影，提高SNR，压脂情况下TE设成反相位值能获得更黑的压脂效果等。

带宽越高，读出梯度越大，梯度的爬升时间越长，勾选【斜坡采集】的收益越明显。当【部分回波】强的时候建议不要开启，K空间中心越靠近梯度爬升阶段，越容易受到梯度涡流引起的轨迹不完美的影响。",2023-08-12 00:00:00,"{序列卡,序列通用}"
235,编码倾角,2,【编码倾角】指旋转相位编码方向，但成像FOV不做旋转。顺时针旋转为负值，逆时针旋转为正值。运动伪影常规出现在相位编码方向，旋转相位编码方向，可将运动伪影沿相位编码方向旋转，以减轻呼吸或搏动伪影对感兴趣区域组织结构的影响。默认腰椎推荐设置为-10度，其他部位需谨慎使用。,2023-08-12 00:00:00,"{序列卡,序列通用}"
236,椭圆扫描,2,【椭圆扫描】是指采集时只采集K空间椭圆区域内的数据，四角区域数据不采集，可用于缩短采集时间，但图像锐利度一定程度上会有所损失。仅3D协议可用。,2023-08-14 00:00:00,"{序列卡,序列通用}"
237,静音因子,2,【静音因子】是指“静音”扫描时静音的程度。“静音”扫描通过调整梯度波形，用于降低扫描时产生的声学噪声，以提高患者舒适度。【静音因子】数值越小，序列产生的声音越小，但扫描时间也会相应增加。【静音因子】为1 时，表示不静音。,2023-08-14 00:00:00,"{序列卡,序列通用}"
238,回波间隔,2,【回波间隔】是指相邻两个回聚脉冲或回聚梯度之间的时间间隔，不可直接编辑。【回波间隔】和【回波链长度】共同决定了【回波链持续时间】。为了减小信号的T2衰减效应和EPI序列的形变，【回波间隔】通常应尽可能短，可通过提高【带宽】、将【梯度模式】切换成【高】、将【射频模式】切换成【快速】、降低【读出分辨率】、开启【部分回波】等方式实现，但需要同时关注SAR和dB/dt是否会超限。,2023-08-14 00:00:00,"{序列卡,序列通用}"
239,空扫,2,【空扫】是指在扫描开启至正式扫描期间，不采集图像的扫描次数。空扫可以使信号在正式扫描前达到稳态避免图像上产生伪影，但同时扫描时间也会增加。在GRE类序列动态扫描中，进行一到两次空扫可以避免第一个期相图像信号过亮。,2023-08-14 00:00:00,"{序列卡,序列通用}"
240,梯度模式,2,"【梯度模式】可以选择使用不同强度的梯度性能。
它的选项有：
1.【标准】：使用标准的梯度性能；
2.【高】：使用较高的梯度性能；
3.【低】：使用较低的梯度性能。
当dB/dt超阈值时，可以降低使用的梯度性能（例如：使用梯度模式【低】），来降低dB/dt；当需要进一步降低【TE】和扫描时间时，可以尝试梯度模式【高】。",2023-08-14 00:00:00,"{序列卡,序列通用}"
241,梯度模式：标准,2,【梯度模式】的选项。【标准】是指使用标准的梯度性能。,2023-08-15 00:00:00,"{序列卡,序列通用}"
242,梯度模式：高,2,【梯度模式】的选项。【高】是指使用较高的梯度性能，当需要进一步降低【TE】和扫描时间时，可以使用该模式，但可能会导致dB/dt超限。,2023-08-15 00:00:00,"{序列卡,序列通用}"
243,梯度模式：低,2,【梯度模式】的选项。【低】是指使用较低的梯度性能，可降低序列的dB/dt，但【TE】和扫描时间可能会延长。,2023-08-15 00:00:00,"{序列卡,序列通用}"
244,射频模式,2,"【射频模式】可以选择使用不同时长的激发或回聚脉冲。
它的选项有：
1.【标准】：使用默认持续时间的脉冲，在持续时间和射频能量之间做了平衡；
2.【快速】：使用短持续时间的脉冲；
3.【优化射频能量】：使用长持续时间的脉冲以降低SAR。
当遇到系统超SAR无法继续扫描时，可尝试选择【优化射频能量】降低脉冲能量，但可能会增加【回波间隔】、扫描时间；当需要进一步降低【回波间隔】或扫描时间时，可尝试选择【快速】减小脉冲持续时间，但会增加序列SAR。",2023-08-15 00:00:00,"{序列卡,序列通用}"
245,射频模式：标准,2,【射频模式】的选项。【标准】是指使用默认持续时间的脉冲，在持续时间和射频能量之间做了平衡。,2023-08-15 00:00:00,"{序列卡,序列通用}"
246,射频模式：优化射频能量,2,【射频模式】的选项。【优化射频能量】是指使用长持续时间的脉冲以降低SAR，但可能会增加【回波间隔】、扫描时间。,2023-08-15 00:00:00,"{序列卡,序列通用}"
247,射频模式：快速,2,【射频模式】的选项。【快速】是指使用短持续时间的脉冲，可减小【回波间隔】或扫描时间，但SAR会有一定程度的增加。,2023-08-15 00:00:00,"{序列卡,序列通用}"
248,多层模式,2,"【多层模式】决定层面采集的方式，仅当扫描【维度】为【二维】时可用。它的选项有：
1.【层模式】：逐层采集，采集完一层的全部数据后再采集另外一层的数据；
2.【线模式】：在一个重复时间内采集多层的数据，其中每一层都只采集一部分数据，通过若干重复时间完成多层所有数据的采集。
推荐使用【线模式】，可以在一个重复时间内采集多层的数据，提高采集效率。【层模式】由于在更短的时间内完成单层数据的采集，对运动敏感性低，常规心脏扫描屏气一次扫一层的场景下使用。",2023-08-15 00:00:00,"{序列卡,序列通用}"
249,多层模式：层模式,2,【多层模式】的选项。【层模式】是指逐层采集，采集完一层的全部数据后再采集另外一层的数据。在常规心脏扫描屏气一次扫一层的场景下常用。,2023-08-15 00:00:00,"{序列卡,序列通用}"
250,多层模式：线模式,2,【多层模式】的选项。【线模式】是指在一个重复时间内采集多层的数据，其中每一层都只采集一部分数据，通过若干重复时间完成多层所有数据的采集。推荐使用【线模式】可以提高采集效果，心脏场景下一次屏气扫描多层时也适用。,2023-08-15 00:00:00,"{序列卡,序列通用}"
251,多层排序：顺序,2,【多层排序】的选项。【顺序】是指按照片层编号依次采集。例如，当扫描5层时，层方向采集次序依次为1-2-3-4-5。一般在腹部屏气扫描需要保持各层运动状态一致或是在短TR协议需要各层信号衰减连续的时候使用【顺序】。,2023-08-15 00:00:00,"{序列卡,序列通用}"
252,多层排序：交错,2,【多层排序】的选项。【交错】是指层方向按一定步长交错采集，例如，当扫描5层时，层方向采集次序为1-3-5-2-4。使用【交错】采集可在一定程度上抑制层间干扰伪影。,2023-08-15 00:00:00,"{序列卡,序列通用}"
253,多层排序,2,"【多层排序】决定层面扫描的顺序，和出图顺序无关，它的选项有：
1.【顺序】：按片层编号依次采集，例如，当扫描5层时，层方向采集次序依次为1-2-3-4-5；
2.【交错】：层方向按一定步长交错采集，例如，当扫描5层时，层方向采集次序为1-3-5-2-4。
一般常用【交错】采集，可以在一定程度上抑制层间干扰伪影。在腹部屏气扫描需要保持各层运动状态一致或是在短TR协议需要各层信号衰减连续时使用【顺序】。",2023-08-15 00:00:00,"{序列卡,序列通用}"
254,扫描方向,2,"【扫描方向】决定层面扫描的方向，和出图顺序无关，它的选项有：
1.【默认】：采用序列默认的层面扫描顺序，即横断位从头到脚，矢状位从左到右，冠状位从后到前；
2.【反向】：层面扫描顺序与序列中默认的相反，即横断位从脚到头，矢状位从右到左，冠状位从前到后；",2023-08-15 00:00:00,"{序列卡,序列通用}"
255,扫描方向：默认,2,【扫描方向】的选项。【默认】表示采用序列默认的层面扫描顺序，即横断位从头到脚，矢状位从左到右，冠状位从后到前。,2023-08-15 00:00:00,"{序列卡,序列通用}"
256,扫描方向：反向,2,【扫描方向】的选项。【反向】表示层面扫描顺序与序列中默认的相反，即横断位从脚到头，矢状位从右到左，冠状位从前到后。,2023-08-15 00:00:00,"{序列卡,序列通用}"
257,方位顺序,2,"【方位顺序】是当一次扫描中出现不同主方向片层组时图像显示的排序规则，该参数下方的方位参数决定某个方向的扫描片层组中片层的显示顺序。可以选择【矢状位】、【冠状位】、【横断位】三者之间的顺序。
它的选项有：
1.【S-C-T】：片层组图像显示顺序依次为【矢状位】、【冠状位】和【横断位】；
2.【S-T-C】：片层组图像显示顺序依次为【矢状位】、【横断位】和【冠状位】；
3.【C-T-S】：片层组图像显示顺序依次为【冠状位】、【横断位】和【矢状位】；
4.【C-S-T】：片层组图像显示顺序依次为【冠状位】、【矢状位】和【横断位】；
5.【T-C-S】：片层组图像显示顺序依次为【横断位】、【冠状位】和【矢状位】；
6.【T-S-C】：片层组图像显示顺序依次为【横断位】、【矢状位】和【冠状位】。
一般图像显示顺序为先【矢状位】、再【冠状位】，最后【横断位】，此处定义的顺序与扫描顺序无关，只影响重建图像编号。",2023-08-21 00:00:00,"{序列卡,序列通用}"
258,矢状位,2,"定义【矢状位】片层组内的图像顺序，它的选项有：
1.【R-L】：图像显示顺序从患者右侧到左侧；
2.【L-R】：图像显示顺序从患者左侧到右侧；
3.【Mid-Side】：图像显示顺序以Z轴为中心，同距先左，先内后外；
4.【Side-Mid】：图像显示顺序以Z轴为中心，同距先右，先外后内。
一般图像显示顺序为患者右侧到左侧。",2023-08-21 00:00:00,"{序列卡,序列通用}"
259,横断位,2,"定义【横断位】片层组内的图像顺序，它的选项有：
1.【F-H】：图像显示顺序从患者脚侧到头侧；
2.【H-F】：图像显示顺序从患者头侧到脚侧。
一般图像显示顺序为患者头侧到脚侧。",2023-08-21 00:00:00,"{序列卡,序列通用}"
283,梯度模式：高,2,【梯度模式】的选项。【高】是指使用较高的梯度性能，当需要进一步降低【TE】和扫描时间时，可以使用该模式，但可能会导致dB/dt超限。,2023-08-15 00:00:00,"{序列卡,序列通用}"
260,冠状位,2,"定义【冠状位】片层组内的图像顺序，它的选项有：
1.【A-P】：图像显示顺序从患者前侧到后侧；
2.【P-A】：图像显示顺序从患者后侧到前侧。
一般图像显示顺序为患者前侧到后侧。",2023-08-21 00:00:00,"{序列卡,序列通用}"
261,横断位：H-F,2,【横断位】的选项。【H-F】是指图像显示顺序从患者头侧到脚侧。,2023-08-21 00:00:00,"{序列卡,序列通用}"
262,横断位：F-H,2,【横断位】的选项。【F-H】是指图像显示顺序从患者脚侧到头侧。,2023-08-21 00:00:00,"{序列卡,序列通用}"
263,冠状位：P-A,2,【冠状位】的选项。【P-A】是指图像显示顺序从患者后侧到前侧。,2023-08-21 00:00:00,"{序列卡,序列通用}"
264,冠状位：A-P,2,【冠状位】的选项。【A-P】是指图像显示顺序从患者前侧到后侧。,2023-08-21 00:00:00,"{序列卡,序列通用}"
265,矢状位：R-L,2,【矢状位】的选项。【R-L】是指图像显示顺序从患者右侧到左侧。,2023-08-21 00:00:00,"{序列卡,序列通用}"
266,矢状位：L-R,2,【矢状位】的选项。【L-R】是指图像显示顺序从患者左侧到右侧。,2023-08-21 00:00:00,"{序列卡,序列通用}"
267,矢状位：Side-Mid,2,【矢状位】的选项。【Side-Mid】是指图像显示顺序以Z轴为中心，同距先右，先外后内。在同时扫描两侧颞颌关节时，可选择该选项设置两侧矢状位片层组图像显示顺序。,2023-08-22 00:00:00,"{序列卡,序列通用}"
268,矢状位：Mid-Side,2,【矢状位】的选项。【Mid-Side】是指图像显示顺序以Z轴为中心，同距先左，先内后外。在同时扫描两侧颞颌关节时，可选择该选项设置两侧矢状位片层组图像显示顺序。,2023-08-22 00:00:00,"{序列卡,序列通用}"
269,方位顺序：S-C-T,2,【方位顺序】的选项。【S-C-T】是指片层组图像显示顺序依次为【矢状位】、【冠状位】和【横断位】。,2023-08-22 00:00:00,"{序列卡,序列通用}"
270,方位顺序：S-T-C,2,【方位顺序】的选项。【S-T-C】是指片层组图像显示顺序依次为【矢状位】、【横断位】和【冠状位】。,2023-08-22 00:00:00,"{序列卡,序列通用}"
271,方位顺序：C-T-S,2,【方位顺序】的选项。【C-T-S】是指片层组图像显示顺序依次为【冠状位】、【横断位】和【矢状位】。,2023-08-22 00:00:00,"{序列卡,序列通用}"
272,方位顺序：T-S-C,2,【方位顺序】的选项。【T-S-C】是指层组图像显示顺序依次为【横断位】、【矢状位】和【冠状位】。,2023-08-22 00:00:00,"{序列卡,序列通用}"
